ORIG_STATE,DEST_STATE,COMMODITY,MODE,VALUE
NJ,NY,Grains,Truck,16636
KY,KY,Wood,Truck,1820
CO,CO,Wood,Truck,117
NC,NC,Wood,Truck,77
SD,MI,Wood,Truck,5259
TX,TX,Wood,Truck,4463
UT,UT,Fuels,Truck,1061
WI,IL,Wood,Truck,18077
MI,MI,Wood,Truck,5
OH,OH,Wood,Truck,1064
PA,IN,Wood,Truck,24517
MN,SD,Wood,Truck,647
IN,IN,Grains,Truck,26597
CO,TX,Wood,Truck,196
TX,LA,Wood,Truck,18461
MD,MD,Fertilizers,Truck,28
UT,UT,Wood,Truck,3692
VA,VA,Grains,Truck,12121
NE,NE,Wood,Truck,7834
HI,HI,Fertilizers,Truck,125
CA,AZ,Grains,Truck,19441
CO,CO,Fuels,Truck,708
IA,IA,Fertilizers,Truck,8691
NC,LA,Wood,Truck,17447
FL,NY,Wood,Air,8
IL,IL,Wood,Truck,35780
IL,AL,Wood,Truck,56450
FL,FL,Wood,Truck,813
MA,IL,Wood,Truck,394
GA,IA,Grains,Truck,19495
IN,MI,Wood,Truck,242
CA,TX,Wood,Truck,2342
WV,WV,Wood,Truck,224
TX,TX,Wood,Truck,3427
SC,MA,Wood,Truck,7384
IL,IA,Wood,Truck,21560
IN,MI,Fertilizers,Truck,77
NY,PA,Wood,Truck,50
OH,OH,Fuels,Truck,1182
AL,AL,Fertilizers,Truck,6238
IN,WI,Wood,Truck,55679
TN,TN,Wood,Truck,1
NV,NV,Grains,Truck,68
TX,CA,Wood,Air,71
NC,NC,Fertilizers,Truck,10571
TX,CA,Wood,Truck,3003
MN,HI,Wood,Air,3983
CA,CA,Wood,Truck,1077
AL,AL,Fertilizers,Truck,17818
CT,NY,Wood,Truck,10908
MN,WI,Wood,Truck,592
TX,MS,Grains,Truck,38768
GA,MI,Wood,Truck,4978
TX,OK,Grains,Truck,4224
TN,WI,Wood,Truck,139
CA,CA,Wood,Truck,9
VA,NC,Grains,Truck,134200
OR,WA,Grains,Air,807
IA,IA,Wood,Truck,5755
WI,CA,Wood,Truck,11317
IL,MO,Fertilizers,Truck,14765
CA,CA,Wood,Truck,3840
WA,OR,Fertilizers,Truck,2016
TX,TX,Wood,Truck,51
WI,IL,Wood,Truck,1345
IN,IN,Wood,Truck,1385
NE,TN,Wood,Truck,596
IL,CO,Wood,Truck,3450
TX,IN,Wood,Truck,821
CA,CA,Wood,Truck,1662
CA,CA,Wood,Truck,26
MI,IA,Grains,Truck,30111
SD,SD,Grains,Truck,12699
TX,TX,Wood,Truck,269
PA,MD,Grains,Truck,2323
ID,KS,Grains,Truck,5234
TN,GA,Wood,Truck,1139
NC,GA,Wood,Truck,26482
NY,NY,Wood,Truck,35
HI,HI,Grains,Truck,308
NC,NC,Wood,Truck,8524
FL,FL,Wood,Truck,2837
TX,WI,Wood,Truck,57680
IA,AZ,Wood,Truck,4963
NC,NC,Wood,Truck,16
GA,WV,Wood,Truck,9
NE,KS,Wood,Truck,21910
ID,UT,Wood,Truck,1211
LA,WV,Wood,Truck,635
OR,OR,Wood,Truck,11
NJ,NJ,Fertilizers,Truck,1077
CO,CO,Fuels,Rail,642589
KS,KS,Fertilizers,Truck,9218
MD,PA,Wood,Truck,2800
HI,TX,Grains,Air,275
CA,IA,Wood,Truck,15077
NY,WY,Wood,Truck,640
OR,KS,Grains,Truck,409
WV,WV,Fuels,Truck,2221
KY,IN,Wood,Truck,3270
TN,TN,Wood,Truck,82
TX,MS,Grains,Truck,38770
IL,IN,Grains,Truck,13682
IL,IL,Wood,Truck,31246
KS,KS,Fertilizers,Truck,14000
NY,NY,Fertilizers,Truck,27
MA,SC,Wood,Truck,1218
MI,MI,Wood,Truck,915
NC,NY,Wood,Air,20
TX,TX,Wood,Truck,48555
IL,IL,Fuels,Truck,958
OK,NY,Wood,Truck,3791
CT,CT,Wood,Truck,29
NV,IL,Wood,Truck,129
PA,PA,Wood,Truck,211
AR,LA,Fertilizers,Truck,1529
NC,NC,Wood,Truck,18936
TX,TX,Wood,Truck,404
MO,CA,Wood,Truck,4328
MI,OH,Wood,Truck,9457
VA,VA,Wood,Truck,70
OH,OH,Fuels,Truck,1092
MO,KS,Fertilizers,Truck,12639
FL,IL,Grains,Truck,11191
CA,CA,Wood,Truck,2197
ID,KS,Grains,Truck,1436
IL,NY,Wood,Truck,738
LA,TN,Wood,Truck,9231
IL,WI,Grains,Truck,30183
CA,NV,Wood,Truck,1605
IL,IL,Wood,Truck,495
TN,ME,Fertilizers,Truck,50516
AL,AL,Wood,Truck,5210
MI,SC,Wood,Truck,86350
NE,TX,Grains,Rail,48845
WA,WA,Wood,Truck,2
OK,KS,Fertilizers,Truck,13896
PA,PA,Fuels,Truck,1340
IL,NH,Wood,Truck,2142
OH,PA,Wood,Truck,1364
AZ,CA,Wood,Truck,517
VA,MA,Wood,Truck,2075
NY,PA,Wood,Truck,12774
WV,WV,Wood,Truck,81
NC,NC,Wood,Truck,1
NC,PA,Wood,Truck,1733
WY,WY,Fuels,Rail,197150
IN,IN,Fuels,Truck,969
ME,ME,Wood,Truck,368
PA,PA,Fuels,Truck,880
MN,MA,Wood,Truck,8726
RI,TN,Wood,Truck,151
ND,ND,Grains,Truck,39
TX,TX,Wood,Truck,5
AL,GA,Wood,Truck,1951
SC,CA,Fertilizers,Truck,18462
WI,MD,Wood,Truck,900
KY,MD,Wood,Truck,6036
ID,OR,Wood,Truck,284
CT,CT,Wood,Truck,74
NC,NC,Wood,Truck,3393
TN,MD,Fertilizers,Truck,52964
MO,MO,Wood,Truck,21657
ND,NC,Grains,Truck,3115
VA,VA,Wood,Truck,16062
MO,TN,Fertilizers,Truck,2255
TX,MO,Wood,Truck,473
CA,AZ,Wood,Truck,4616
MN,PA,Wood,Truck,49019
OH,OH,Wood,Truck,527
MN,NE,Wood,Truck,1599
WI,IL,Grains,Truck,4691
TX,NC,Grains,Truck,2326
OH,MI,Wood,Truck,1101
NY,TN,Wood,Truck,15204
CA,AZ,Grains,Truck,2304
NJ,MD,Grains,Truck,853
MI,TN,Wood,Truck,7697
VA,NC,Grains,Truck,19847
AR,NJ,Wood,Truck,5974
CT,CT,Wood,Truck,3278
MD,VA,Wood,Truck,1187
NC,NC,Grains,Truck,74123
MN,ND,Fertilizers,Truck,16386
AZ,AZ,Fuels,Rail,883579
MA,MD,Wood,Truck,900
NC,NC,Wood,Truck,77
MN,TX,Wood,Truck,12717
LA,LA,Wood,Truck,781
OH,OH,Grains,Truck,81
NY,WI,Grains,Truck,76851
OH,OH,Wood,Truck,975
WI,IL,Wood,Truck,119502
CA,CA,Fertilizers,Truck,5196
WY,OK,Fuels,Rail,221015
NJ,NJ,Wood,Truck,162
OR,OR,Wood,Truck,2869
PA,MA,Wood,Truck,9672
IN,NE,Wood,Truck,12707
KY,KY,Fuels,Truck,949
CA,CA,Wood,Truck,934
IN,IN,Grains,Truck,13113
FL,NE,Wood,Truck,548
ID,ID,Grains,Truck,11845
OK,OK,Wood,Truck,65
KY,NY,Wood,Truck,397
WI,FL,Wood,Truck,43074
FL,LA,Wood,Truck,654
IA,TN,Wood,Truck,1131
GA,NC,Grains,Truck,39306
VA,IN,Wood,Truck,2022
CA,TX,Grains,Truck,129244
CO,OR,Grains,Truck,31498
IN,IN,Grains,Truck,17444
TX,TX,Wood,Truck,79
IL,IL,Grains,Truck,13063
TX,TX,Wood,Truck,208
FL,WA,Wood,Truck,4983
VA,VA,Wood,Truck,14041
CA,CA,Wood,Truck,5384
WI,IN,Wood,Truck,2018
TX,TX,Grains,Truck,10494
NC,VA,Wood,Air,20
MT,WY,Fuels,Truck,590
WI,WI,Wood,Truck,6017
NJ,VT,Grains,Truck,15254
TX,TX,Wood,Truck,27418
HI,HI,Wood,Air,1385
KY,KY,Wood,Truck,55302
AZ,CA,Grains,Truck,1292
TX,MD,Grains,Truck,204
TX,TX,Wood,Truck,18463
CO,CO,Fuels,Truck,995
KS,KS,Wood,Truck,2096
PA,PA,Grains,Truck,2907
VA,FL,Wood,Truck,98406
IA,TN,Fertilizers,Truck,39511
MI,NM,Wood,Truck,8
SD,SD,Wood,Truck,41
GA,NC,Grains,Truck,33010
ID,VA,Grains,Truck,72604
WA,WA,Fertilizers,Truck,1559
KS,KS,Fertilizers,Truck,12488
KS,MO,Grains,Truck,12138
MN,MI,Wood,Truck,74
IA,IA,Fertilizers,Truck,23
KY,IL,Wood,Truck,14227
TX,TX,Wood,Truck,2528
SD,SD,Wood,Truck,345
TX,TX,Wood,Truck,379331
CA,CA,Grains,Truck,51
FL,KS,Grains,Truck,2108
NC,NC,Wood,Truck,526
MD,DE,Fertilizers,Truck,9232
IL,IL,Wood,Truck,41451
NY,NY,Wood,Truck,4307
OH,PA,Grains,Truck,1200
TX,TX,Wood,Truck,55
MN,ID,Wood,Truck,2677
OH,MI,Wood,Truck,6661
IL,NV,Wood,Truck,68
CA,CA,Fertilizers,Truck,1910
MT,MT,Wood,Truck,43
CO,UT,Fuels,Rail,213435
CA,CA,Wood,Truck,1291
CA,CA,Grains,Truck,86780
CA,CA,Wood,Truck,1013
CA,CA,Wood,Truck,10516
KY,IN,Wood,Truck,81
WA,MI,Grains,Truck,830
CA,CA,Grains,Truck,39505
NJ,NJ,Grains,Truck,1658
MN,SD,Wood,Truck,1124
GA,AR,Grains,Truck,27873
IL,TN,Wood,Truck,17
HI,HI,Fertilizers,Truck,18
MN,CA,Fertilizers,Truck,5505
MN,MN,Wood,Truck,111
NC,NC,Wood,Truck,85
MD,WV,Wood,Truck,160
WV,IN,Wood,Truck,831
NY,NY,Wood,Truck,6
NH,MA,Wood,Truck,1292
WY,CO,Fuels,Rail,214199
MI,OH,Grains,Truck,5815
FL,FL,Fertilizers,Truck,13066
WA,WA,Wood,Truck,26
NY,NY,Wood,Truck,7039
IA,IA,Fertilizers,Truck,17368
MD,VA,Wood,Truck,931
TX,TX,Wood,Truck,1499
PA,NV,Grains,Truck,9422
GA,VA,Wood,Truck,76412
HI,HI,Wood,Truck,67
UT,NV,Wood,Truck,6
LA,LA,Grains,Truck,1176
CO,NM,Fuels,Truck,1410
NY,NY,Wood,Truck,26004
TX,TX,Fertilizers,Truck,25231
WY,KS,Fuels,Rail,232743
AL,AL,Fuels,Truck,3847
MI,MI,Wood,Truck,96
WI,IL,Wood,Truck,130051
VA,NC,Fuels,Truck,522
IA,IA,Fertilizers,Truck,61208
OH,OH,Wood,Truck,4463
MD,MI,Wood,Air,614
UT,VA,Wood,Truck,17728
KY,TX,Wood,Truck,6
CA,TX,Grains,Truck,54838
KS,KS,Grains,Truck,14599
NJ,MN,Grains,Truck,39275
IL,TX,Wood,Rail,13645
NH,IL,Wood,Truck,1495
AR,NC,Wood,Truck,1016
NJ,FL,Wood,Truck,5539
ME,MA,Wood,Truck,11710
TX,TX,Grains,Truck,224
OH,OH,Wood,Truck,43
FL,WI,Grains,Truck,2493
TX,IL,Wood,Truck,2257
NJ,NJ,Wood,Truck,42
KY,TN,Fuels,Truck,2149
WA,WA,Fertilizers,Truck,6939
TX,TX,Wood,Truck,198
FL,SC,Grains,Truck,11079
IA,IA,Grains,Truck,5930
OH,AL,Grains,Rail,54429
OR,UT,Fertilizers,Truck,506
OR,OR,Grains,Truck,898
CA,IN,Grains,Truck,169
NJ,NY,Wood,Truck,13549
AR,OK,Wood,Truck,3792
NY,MO,Wood,Truck,203
PA,PA,Wood,Truck,9048
TX,TX,Wood,Truck,1477
KS,KS,Grains,Truck,12898
KS,MO,Grains,Truck,13256
OH,OH,Fuels,Truck,1692
OK,NE,Wood,Truck,455
IL,IL,Wood,Truck,995
IN,IN,Grains,Truck,12105
CA,CA,Grains,Truck,149651
OH,ID,Grains,Truck,1265
GA,WI,Grains,Truck,15479
CA,CA,Wood,Truck,553
LA,IL,Fertilizers,Rail,47402
IL,FL,Wood,Truck,6115
VA,VA,Wood,Truck,3769
CA,CA,Wood,Truck,31188
TN,FL,Wood,Truck,96768
CA,CA,Fertilizers,Truck,6439
TN,WA,Wood,Truck,1905
IL,WI,Grains,Truck,1745
MI,CA,Wood,Truck,12
AR,MO,Fertilizers,Rail,42414
KS,CA,Wood,Truck,29207
NM,NM,Wood,Truck,689
CA,CA,Wood,Truck,2800
TX,TX,Wood,Truck,2311
FL,FL,Wood,Truck,57607
CA,CA,Grains,Truck,91648
GA,DE,Wood,Truck,47144
UT,NV,Grains,Truck,2465
OH,IL,Wood,Truck,75
NH,FL,Wood,Truck,1
TN,WA,Wood,Truck,7938
IL,IL,Grains,Truck,12808
NY,WI,Wood,Truck,5527
OH,KY,Wood,Truck,102
CA,CA,Fertilizers,Truck,13490
MI,IL,Wood,Truck,4616
TX,CA,Wood,Truck,5
NE,TX,Wood,Truck,921
CA,OH,Wood,Truck,17602
MA,PA,Grains,Truck,10237
CO,TN,Wood,Air,8
CA,TX,Grains,Truck,3525
AZ,CA,Grains,Truck,2051
MI,MI,Wood,Truck,875
MO,MO,Wood,Truck,619
OR,WY,Grains,Truck,47
IA,IA,Grains,Truck,17566
ID,NY,Wood,Air,17
MI,TN,Wood,Truck,10545
NY,NY,Wood,Truck,7
TX,TX,Wood,Truck,1189
GA,MD,Grains,Truck,13849
IL,IL,Wood,Truck,78718
CA,CA,Grains,Truck,81015
KY,TN,Fuels,Truck,2098
MD,MD,Fuels,Truck,873
WA,FL,Grains,Air,162
FL,FL,Wood,Truck,6716
OH,NY,Wood,Truck,2396
IL,IL,Wood,Truck,590
MI,MI,Wood,Truck,391
NJ,MA,Fertilizers,Truck,12987
RI,GA,Wood,Truck,11305
OK,OK,Fertilizers,Truck,17661
DE,DE,Wood,Truck,1077
CT,CT,Wood,Truck,656
IL,TX,Wood,Truck,54
MI,MS,Wood,Truck,409
MA,IN,Wood,Truck,4072
MI,MI,Wood,Truck,7478
MD,MD,Fertilizers,Truck,2578
CA,TX,Grains,Truck,1077
AL,NC,Grains,Truck,118
CA,CA,Wood,Truck,1202
ME,ME,Fertilizers,Truck,329
NC,NC,Wood,Truck,4725
NC,NC,Wood,Truck,20372
HI,HI,Fertilizers,Truck,36
IL,NC,Wood,Truck,705
CO,TX,Wood,Truck,624
HI,HI,Grains,Air,3988
OH,WV,Fertilizers,Truck,4050
WI,IL,Grains,Truck,13229
PA,FL,Grains,Truck,200
UT,CA,Wood,Air,626
VA,AZ,Wood,Truck,33544
WI,OH,Wood,Truck,1474
NE,TX,Grains,Rail,48629
CA,CA,Grains,Truck,466
NE,IA,Grains,Truck,99705
FL,MA,Wood,Truck,4695
TX,TX,Wood,Truck,14
WI,MA,Wood,Truck,3904
TX,TX,Grains,Truck,12118
MA,PA,Wood,Truck,27893
UT,NM,Grains,Truck,5093
MN,MN,Wood,Truck,1841
CA,CA,Fertilizers,Truck,22971
IN,IN,Fertilizers,Truck,13491
CA,TX,Grains,Truck,2149
OR,OR,Wood,Truck,805
WY,NE,Fuels,Rail,258794
MA,IL,Grains,Truck,495
FL,FL,Wood,Truck,1223
CA,CA,Fertilizers,Truck,431
AR,AR,Wood,Truck,362
NJ,NJ,Wood,Truck,96
CO,CO,Fuels,Truck,377
IL,IL,Wood,Truck,1710
WI,WI,Wood,Truck,4717
MT,MD,Fuels,Rail,212238
OR,WA,Wood,Truck,1089
TN,NY,Wood,Truck,46857
FL,FL,Wood,Truck,1098
SC,SC,Wood,Truck,194
AZ,OK,Grains,Truck,12479
KS,KS,Grains,Truck,11864
NC,NJ,Wood,Truck,1166
FL,FL,Wood,Truck,977
TX,TX,Wood,Truck,1893
IA,KS,Grains,Truck,5524
KS,NE,Fertilizers,Truck,5067
CO,IL,Wood,Truck,5562
IL,IL,Wood,Truck,13997
UT,OR,Fuels,Truck,1499
TN,NJ,Grains,Truck,11071
NC,FL,Wood,Truck,3826
GA,GA,Wood,Truck,5005
FL,FL,Fertilizers,Truck,10690
AL,IL,Grains,Truck,367
NC,MI,Wood,Truck,25689
AZ,AZ,Wood,Truck,23
MA,MA,Wood,Truck,18
UT,WA,Fertilizers,Truck,14433
KY,OH,Wood,Truck,2369
TX,TX,Wood,Truck,40625
IL,MO,Fertilizers,Truck,90831
IA,NJ,Wood,Truck,172
TN,PA,Wood,Truck,23603
NC,TX,Grains,Truck,42532
IL,IL,Wood,Truck,6
FL,FL,Wood,Truck,1204
ID,OH,Grains,Truck,7446
TX,TX,Wood,Truck,961
NC,NC,Wood,Truck,31556
LA,AL,Wood,Truck,72
NJ,OH,Wood,Truck,661
IN,TX,Wood,Truck,1648
LA,TN,Wood,Truck,72
IL,IL,Fertilizers,Truck,15306
NC,VA,Grains,Truck,1711
IN,TX,Wood,Truck,24
KY,KY,Grains,Truck,67337
IN,IN,Grains,Truck,12825
IL,CA,Wood,Air,186
UT,ID,Fuels,Truck,2056
WI,NE,Grains,Truck,2022
MO,IL,Grains,Rail,47257
ND,KY,Grains,Truck,1551
OH,OH,Wood,Truck,2410
MO,IA,Fertilizers,Truck,21437
CA,CA,Grains,Truck,43182
WI,PA,Wood,Truck,116105
TN,LA,Grains,Truck,18373
WA,MO,Grains,Truck,11013
HI,HI,Grains,Air,4022
NC,NC,Wood,Truck,8922
NJ,NJ,Wood,Truck,18
AL,AL,Fuels,Truck,2250
PA,PA,Wood,Truck,4033
MD,CA,Wood,Truck,15152
AK,AK,Wood,Truck,512
IA,TN,Wood,Truck,5297
IN,OR,Wood,Truck,357
KY,KY,Fuels,Truck,1729
MI,MI,Wood,Truck,282
IN,NJ,Wood,Truck,19380
FL,TN,Wood,Truck,1780
TX,TX,Wood,Truck,11
MO,IL,Fertilizers,Truck,16158
GA,OH,Wood,Truck,323
FL,TX,Grains,Truck,8432
OH,OH,Fuels,Truck,1442
IL,KS,Fertilizers,Truck,1998
MI,MI,Wood,Truck,897
WA,TX,Grains,Truck,22903
CA,CA,Grains,Rail,55993
FL,NJ,Wood,Truck,4855
TN,PA,Wood,Truck,256
TX,TX,Wood,Truck,70546
GA,GA,Grains,Truck,9351
IA,IA,Fertilizers,Truck,5532
NC,NC,Wood,Truck,295
MD,MD,Wood,Truck,1850
WI,IL,Wood,Truck,441
IL,NM,Fertilizers,Truck,845
AR,HI,Wood,Air,1062
NJ,NJ,Wood,Truck,26060
CA,CA,Wood,Truck,2690
SC,TX,Wood,Truck,2918
KY,VA,Fuels,Truck,84332
FL,FL,Grains,Truck,556
MA,NC,Wood,Truck,49491
MN,MN,Grains,Truck,11227
TN,GA,Wood,Truck,1326
KS,TN,Wood,Air,1
NV,NV,Grains,Truck,855
OH,IN,Fertilizers,Truck,11021
IN,GA,Wood,Truck,70
IN,NE,Wood,Truck,20775
PA,PA,Fuels,Truck,3839
AR,KS,Wood,Truck,30766
OK,OK,Wood,Truck,23
WA,WA,Wood,Truck,2
NY,NY,Wood,Truck,1078
SD,SD,Wood,Truck,2
VA,VA,Wood,Truck,21898
WI,TX,Wood,Truck,17463
IA,MS,Wood,Truck,1203
PA,MI,Wood,Truck,13437
NJ,MA,Grains,Truck,32244
MN,MN,Grains,Truck,8023
NJ,NJ,Grains,Truck,6957
IN,AR,Wood,Truck,311
KY,IN,Wood,Truck,32300
CA,VT,Wood,Truck,2308
IA,IA,Grains,Truck,3516
KY,KY,Grains,Truck,4473
TN,ME,Wood,Truck,1262
NJ,NJ,Wood,Truck,16
CA,CA,Grains,Truck,54
IL,WI,Grains,Truck,17391
SC,SC,Fertilizers,Truck,20314
IN,NY,Wood,Truck,9
TX,TX,Grains,Truck,130
SC,NJ,Wood,Air,28
WY,WY,Wood,Truck,8052
VA,VA,Grains,Truck,32
WA,WA,Wood,Truck,70
TX,TX,Fertilizers,Truck,8779
SD,SD,Wood,Truck,60
AK,AK,Wood,Air,1223
OH,MI,Wood,Truck,2380
OH,OH,Wood,Truck,38
FL,MN,Grains,Truck,3557
MN,MN,Wood,Truck,16020
NJ,NJ,Wood,Truck,36
MI,NY,Wood,Truck,3278
FL,FL,Grains,Truck,17
NJ,NJ,Wood,Truck,14143
TN,NY,Wood,Truck,27960
KY,AR,Wood,Truck,215
VA,VA,Wood,Truck,26218
OH,OH,Fertilizers,Truck,4683
IN,IN,Wood,Truck,545
FL,OH,Grains,Truck,19415
NJ,NJ,Wood,Truck,24
MO,MO,Wood,Truck,577
VA,NJ,Wood,Truck,482
CA,CA,Fertilizers,Truck,3372
KY,FL,Wood,Truck,6
CA,CA,Grains,Truck,98726
NC,NC,Wood,Truck,201
OH,OH,Fuels,Truck,1435
NH,TX,Wood,Truck,31906
AZ,AZ,Grains,Truck,6125
OR,OR,Wood,Truck,591
NH,KS,Wood,Truck,15
FL,OH,Grains,Truck,1220
NC,NC,Wood,Truck,1
NY,CA,Wood,Truck,720
FL,NY,Wood,Truck,14310
CA,CA,Fertilizers,Truck,21263
MN,MN,Fertilizers,Truck,2116
IA,IA,Fertilizers,Truck,19681
TX,TX,Wood,Truck,52
CO,WI,Wood,Truck,851
MI,NY,Wood,Air,39
WA,TX,Grains,Air,81
MI,MI,Wood,Truck,464
ID,ID,Fertilizers,Truck,13256
AL,AL,Fuels,Truck,1560
VA,OH,Wood,Truck,402
NY,NY,Wood,Truck,396
CA,CA,Wood,Truck,55270
NV,WA,Wood,Truck,4617
WY,OK,Fuels,Rail,215036
WY,LA,Fuels,Rail,159320
NJ,NJ,Wood,Truck,1
AZ,CA,Fertilizers,Truck,10766
ID,LA,Fertilizers,Rail,170885
CA,NV,Wood,Truck,2037
OH,NJ,Wood,Truck,16
CO,GA,Wood,Air,169
NC,NC,Grains,Truck,44141
IL,CA,Wood,Truck,2308
WI,WI,Wood,Truck,2907
AL,AL,Fuels,Truck,1918
WI,WI,Wood,Truck,14089
IL,CO,Wood,Truck,19816
OH,VA,Wood,Truck,175
TN,OH,Wood,Truck,4739
CA,TX,Wood,Truck,2342
FL,NY,Wood,Truck,3513
WA,WA,Wood,Truck,17592
OH,OH,Fertilizers,Truck,969
CA,CA,Wood,Truck,3445
MO,MO,Wood,Truck,11635
IN,OH,Grains,Truck,17648
OK,OK,Wood,Truck,646
MA,IN,Wood,Truck,14344
VA,VA,Wood,Truck,28850
IL,NJ,Wood,Truck,6
OH,OH,Wood,Truck,38
MS,MS,Wood,Truck,16
NE,WI,Wood,Truck,39220
WA,AK,Wood,Air,5
MI,TN,Wood,Truck,1017
AR,AR,Wood,Truck,97
PA,OH,Wood,Truck,7258
AL,IN,Fertilizers,Truck,7681
MT,MT,Fertilizers,Truck,570
UT,CA,Wood,Truck,337
ND,ND,Grains,Truck,11319
TX,TX,Wood,Truck,2196
NM,TX,Grains,Truck,2517
FL,FL,Grains,Truck,328
CA,WI,Grains,Truck,1437
NC,NC,Grains,Truck,11067
IN,NC,Wood,Truck,15335
OH,MI,Fertilizers,Truck,10159
WY,MO,Fuels,Rail,212541
CA,CA,Wood,Truck,7178
VA,AL,Grains,Truck,14918
TN,TN,Wood,Truck,16580
WA,TX,Grains,Truck,110316
WY,TX,Fuels,Rail,225277
TX,TX,Wood,Truck,7
WI,WI,Wood,Truck,622
KY,FL,Wood,Truck,6
NH,PA,Wood,Truck,43268
NC,NC,Wood,Truck,666
TX,TX,Wood,Truck,390
SC,NC,Wood,Truck,136
AZ,FL,Grains,Truck,11746
GA,GA,Wood,Truck,3230
WA,CO,Wood,Truck,3640
IL,IL,Grains,Truck,9640
IN,GA,Wood,Truck,8
CA,CA,Grains,Truck,70475
MD,MD,Wood,Truck,92479
UT,UT,Fuels,Truck,1139
FL,SD,Wood,Truck,12130
OH,GA,Wood,Truck,9922
AK,AK,Wood,Air,54
WI,IL,Wood,Truck,3756
GA,OH,Fertilizers,Rail,24932
WA,OH,Grains,Truck,1529
IL,IN,Wood,Truck,61
IA,IA,Grains,Truck,14308
OR,CA,Grains,Truck,2089
IA,MN,Grains,Truck,5387
OH,UT,Wood,Truck,2846
HI,HI,Grains,Air,3582
CA,CA,Fertilizers,Truck,6550
IN,IN,Wood,Truck,2
OR,OR,Fertilizers,Truck,61
WI,CO,Wood,Truck,2944
OH,OH,Fuels,Truck,838
CA,UT,Wood,Truck,2261
AZ,FL,Grains,Truck,6131
FL,FL,Wood,Truck,1956
NC,VA,Grains,Truck,151184
AZ,OR,Wood,Truck,4118
CA,WA,Wood,Air,3098
TX,TX,Wood,Truck,717
VA,TN,Wood,Truck,21087
WA,IL,Grains,Truck,57843
IN,OH,Wood,Truck,45216
CT,CT,Wood,Truck,3433
MI,OH,Wood,Truck,31
TX,TX,Wood,Truck,1
NC,OH,Wood,Truck,2034
NC,CO,Wood,Truck,1003
NE,NE,Fertilizers,Truck,4564
MS,ME,Wood,Truck,111
IA,MN,Fertilizers,Truck,3601
OR,WA,Grains,Truck,1332
WI,CO,Wood,Truck,9
OH,IL,Wood,Truck,9773
VA,GA,Fuels,Rail,885820
FL,TX,Wood,Truck,287769
OH,OH,Fuels,Truck,1204
FL,FL,Wood,Truck,2021
KY,TX,Grains,Truck,51
MD,GA,Wood,Truck,1077
NY,MA,Grains,Truck,26225
NE,SD,Wood,Truck,3111
SC,MA,Wood,Truck,1385
FL,OR,Grains,Truck,205
MT,MT,Wood,Truck,81
WI,IL,Grains,Truck,1985
TX,NE,Fertilizers,Rail,5598
IL,IL,Fuels,Truck,899
MI,MN,Wood,Truck,11
CA,CA,Wood,Truck,872
IN,IN,Grains,Truck,14965
OK,TX,Wood,Truck,1386
CA,MT,Wood,Truck,1384
CT,GA,Wood,Truck,5186
IL,MO,Wood,Truck,3251
LA,IL,Wood,Truck,795
IN,IN,Grains,Truck,16369
OK,OH,Fertilizers,Rail,50600
OH,IN,Grains,Truck,14792
CA,AZ,Wood,Truck,1451
CA,CA,Grains,Truck,1513
TN,KY,Wood,Truck,1446
CT,MA,Wood,Truck,4065
KS,MO,Wood,Truck,5224
NY,NY,Wood,Truck,107
FL,IN,Grains,Truck,3989
TN,TN,Wood,Truck,983
CA,PA,Grains,Truck,3601
IN,NY,Wood,Truck,4025
DE,DE,Wood,Truck,794
FL,TX,Wood,Truck,22412
WI,NC,Wood,Truck,4005
TN,FL,Grains,Truck,19109
KS,PA,Wood,Truck,464034
TX,TX,Wood,Truck,18469
FL,WA,Grains,Truck,258
OH,IL,Wood,Truck,1324
VA,VA,Wood,Truck,12644
OR,ID,Fertilizers,Truck,1682
OR,OH,Grains,Truck,517
FL,IL,Wood,Truck,839
OH,FL,Wood,Truck,312
WA,WA,Wood,Truck,127
IN,IN,Fuels,Truck,920
CA,CA,Grains,Truck,37
MO,GA,Wood,Truck,861
MD,PA,Wood,Truck,3876
NH,FL,Wood,Truck,1
NC,VA,Grains,Truck,36862
NY,PA,Wood,Truck,1729
MN,AL,Wood,Truck,5514
AL,AL,Fuels,Truck,2610
TX,NM,Wood,Truck,386
IN,TN,Wood,Truck,13852
CO,NM,Wood,Truck,1026
MN,WI,Wood,Truck,565
CA,CA,Wood,Truck,2726
KY,IN,Grains,Truck,15305
FL,AL,Grains,Truck,139
NC,VA,Grains,Truck,11025
WY,NE,Fuels,Rail,232514
WA,CA,Grains,Truck,3523
AR,AR,Wood,Truck,65
MN,MN,Wood,Truck,2573
NC,MA,Wood,Truck,621
NJ,TX,Wood,Truck,129
RI,AR,Wood,Truck,2404
OH,MO,Wood,Truck,776
IN,IN,Fuels,Truck,1379
MI,MI,Wood,Truck,24
WA,OH,Wood,Truck,980
CA,CA,Fertilizers,Truck,8784
OH,WV,Wood,Truck,1315
WY,TX,Fuels,Rail,170218
ME,ME,Fertilizers,Truck,609
IL,FL,Wood,Air,59
GA,GA,Wood,Truck,2153
KY,CA,Wood,Air,12
IA,NE,Fertilizers,Truck,6845
CA,CA,Fertilizers,Truck,10561
FL,LA,Wood,Truck,5203
VA,VA,Wood,Truck,41203
OH,OH,Wood,Truck,231
WI,TX,Wood,Truck,30
SC,SC,Wood,Truck,538
